Volcano Number,Volcano Name,Country,Emission ID,Method,Start Date,End Date,Total SO2 Mass (kt),SO2 Altitude Range Start
290360,Chikurachki,Russia,182,Satellite,2016 Mar 30,2016 Mar 30,4.000,6.8
312030,Pavlof,United States,222,Satellite,2016 Mar 27,2016 Mar 27,20.000,9.0
266030,Soputan,Indonesia,150,Satellite,2016 Jan 05,2016 Jan 05,3.000,11.8
342090,Fuego,Guatemala,283,Satellite,2016 Jan 04,2016 Jan 20,2.000,7.0
342090,Fuego,Guatemala,284,Satellite,2016 Feb 10,2016 Feb 10,1.000,7.0
266030,Soputan,Indonesia,151,Satellite,2016 Feb 06,2016 Feb 06,5.000,7.0
344040,Telica,Nicaragua,292,Satellite,2015 Nov 22,2015 Nov 22,1.000,2.4
282050,Kuchinoerabujima,Japan,166,Satellite,2015 May 29,2015 May 29,4.000,9.0
353020,Wolf,Ecuador,313,Satellite,2015 May 25,2015 May 25,200.000,6.7
233020,"Fournaise, Piton de la",France,71,Satellite,2015 May 18,2015 May 18,2.000,7.6
357120,Villarrica,Chile,328,Satellite,2015 Mar 03,2015 Mar 03,5.000,10.0
233020,"Fournaise, Piton de la",France,72,Satellite,2015 Jul 31,2015 Jul 31,2.000,7.6
251020,Manam,Papua New Guinea,88,Satellite,2015 Jul 31,2015 Jul 31,50.000,19.0
300120,Zhupanovsky,Russia,186,Satellite,2015 Jul 12,2015 Jul 12,10.000,10.0
300270,Sheveluch,Russia,209,Satellite,2015 Feb 24,2015 Mar 16,15.000,7.0
257040,Ambrym,Vanuatu,103,Satellite,2015 Feb 21,2015 Feb 21,20.000,6.3
290360,Chikurachki,Russia,181,Satellite,2015 Feb 16,2015 Feb 16,5.000,8.0
342090,Fuego,Guatemala,282,Satellite,2015 Feb 07,2015 Feb 07,2.000,5.0
233020,"Fournaise, Piton de la",France,70,Satellite,2015 Feb 04,2015 Feb 04,3.000,7.6
266030,Soputan,Indonesia,149,Satellite,2015 Feb 02,2015 Feb 02,2.000,6.0
211060,Etna,Italy,30,Satellite,2015 Dec 03,2015 Dec 03,25.000,13.0
344090,Momotombo,Nicaragua,294,Satellite,2015 Dec 02,2015 Dec 02,1.500,2.0
233020,"Fournaise, Piton de la",France,73,Satellite,2015 Aug 25,2015 Aug 25,2.000,7.6
352050,Cotopaxi,Ecuador,301,Satellite,2015 Aug 14,2015 Aug 14,20.000,18.0
358020,Calbuco,Chile,330,Satellite,2015 Apr 22,2015 Apr 22,400.000,20.0
283040,Ontakesan,Japan,168,Satellite,2014 Sep 27,2014 Sep 27,1.000,10.0
300270,Sheveluch,Russia,208,Satellite,2014 Sep 24,2014 Sep 24,5.000,12.0
345070,Turrialba,Costa Rica,295,Satellite,2014 Oct 30,2014 Oct 30,3.000,5.0
384010,Fogo,Cape Verde,363,Satellite,2014 Nov 23,2014 Nov 23,382.000,9.0
312030,Pavlof,United States,221,Satellite,2014 Nov 15,2014 Nov 15,46.000,12.0
264050,Sangeang Api,Indonesia,126,Satellite,2014 May 30,2014 May 30,100.000,17.0
342110,Pacaya,Guatemala,287,Satellite,2014 Mar 02,2014 Mar 02,2.000,5.0
233020,"Fournaise, Piton de la",France,69,Satellite,2014 Jun 21,2014 Jun 21,1.000,7.6
300120,Zhupanovsky,Russia,185,Satellite,2014 Jun 06,2014 Jun 06,227.000,6.0
312030,Pavlof,United States,220,Satellite,2014 Jun 03,2014 Jun 03,10.000,12.5
261080,Sinabung,Indonesia,110,Satellite,2014 Jan 11,2014 Jan 11,20.000,7.0
263280,Kelut,Indonesia,120,Satellite,2014 Feb 13,2014 Feb 13,200.000,19.0
243040,Hunga Tonga-Hunga Ha'apai,Tonga,78,Satellite,2014 Dec 24,2014 Dec 24,14.000,3.0
373030,Bardarbunga,Iceland,359,Satellite,2014 Aug 31,2014 Aug 31,11800.000,5.0
252140,Rabaul,Papua New Guinea,98,Satellite,2014 Aug 29,2014 Aug 29,31.000,18.0
211060,Etna,Italy,28,Satellite,2013 Oct 26,2013 Oct 26,10.000,8.0
300260,Klyuchevskoy,Russia,204,Satellite,2013 Oct 13,2013 Oct 20,55.000,7.0
300260,Klyuchevskoy,Russia,205,Satellite,2013 Nov 19,2013 Nov 19,2.000,12.0
211060,Etna,Italy,29,Satellite,2013 Nov 17,2013 Dec 30,40.000,4.0
311240,Cleveland,United States,213,Satellite,2013 May 05,2013 May 05,1.000,5.0
312030,Pavlof,United States,219,Satellite,2013 Jun 25,2013 Jun 25,5.000,12.5
211060,Etna,Italy,26,Satellite,2013 Feb 28,2013 Feb 28,5.000,4.0
264150,Paluweh,Indonesia,127,Satellite,2013 Feb 02,2013 Feb 02,40.000,17.0
343100,San Miguel,El Salvador,289,Satellite,2013 Dec 29,2013 Dec 29,5.000,12.1
312070,Veniaminof,United States,223,Satellite,2013 Aug 12,2013 Aug 12,5.000,7.0
211060,Etna,Italy,27,Satellite,2013 Apr 27,2013 Apr 27,7.000,4.0
251020,Manam,Papua New Guinea,87,Satellite,2013 Apr 13,2013 Apr 13,10.000,11.8
266030,Soputan,Indonesia,148,Satellite,2012 Sep 18,2012 Sep 18,10.000,9.0
342090,Fuego,Guatemala,281,Satellite,2012 Sep 13,2012 Sep 13,2.000,8.0
344020,San Cristobal (Nicaragua),Nicaragua,290,Satellite,2012 Sep 08,2012 Sep 08,5.000,3.5
300250,Bezymianny,Russia,199,Satellite,2012 Sep 01,2012 Sep 01,3.000,12.0
300240,Tolbachik,Russia,189,Satellite,2012 Nov 27,2012 Nov 27,200.000,10.0
211060,Etna,Italy,25,Satellite,2012 Mar 04,2012 Apr 24,31.000,6.0
211060,Etna,Italy,23,Satellite,2012 Jan 05,2012 Jan 05,6.500,9.0
211060,Etna,Italy,24,Satellite,2012 Feb 09,2012 Feb 09,1.100,9.0
344020,San Cristobal (Nicaragua),Nicaragua,291,Satellite,2012 Dec 26,2012 Dec 26,1.000,4.5
357090,Copahue,Chile-Argentina,324,Satellite,2012 Dec 22,2012 Dec 22,500.000,10.0
266030,Soputan,Indonesia,147,Satellite,2012 Aug 27,2012 Aug 27,2.000,12.0
241080,Tongariro,New Zealand,75,Satellite,2012 Aug 06,2012 Aug 06,1.000,12.0
358057,"Hudson, Cerro",Chile,333,Satellite,2011 Oct 26,2011 Oct 26,1.000,11.9
211060,Etna,Italy,22,Satellite,2011 Nov 15,2011 Nov 15,4.800,11.0
223020,Nyamulagira,DR Congo,53,Satellite,2011 Nov 07,2011 Nov 07,1719.000,8.1
373010,Grimsvotn,Iceland,358,Satellite,2011 May 21,2011 May 21,300.000,12.0
211060,Etna,Italy,20,Satellite,2011 May 12,2011 May 12,6.000,6.0
357040,Planchon-Peteroa,Chile,323,Satellite,2011 May 02,2011 May 02,1.000,6.0
221101,Nabro,Eritrea,34,Satellite,2011 Jun 13,2011 Jun 13,3650.000,18.0
357150,Puyehue-Cordon Caulle,Chile,329,Satellite,2011 Jun 04,2011 Jun 04,200.000,14.0
211060,Etna,Italy,21,Satellite,2011 Jul 09,2011 Oct 23,52.700,4.0
266030,Soputan,Indonesia,145,Satellite,2011 Jul 03,2011 Jul 03,10.000,14.0
263310,Tengger Caldera,Indonesia,124,Satellite,2011 Jan 28,2011 Feb 12,24.000,4.0
282090,Kirishimayama,Japan,167,Satellite,2011 Jan 26,2011 Jan 26,30.000,4.0
211060,Etna,Italy,17,Satellite,2011 Jan 12,2011 Jan 12,7.000,7.0
300230,Kizimen,Russia,188,Satellite,2011 Jan 01,2011 Jan 01,23.000,8.0
273010,Bulusan,Philippines,163,Satellite,2011 Feb 21,2011 Feb 21,1.200,5.0
211060,Etna,Italy,18,Satellite,2011 Feb 18,2011 Feb 18,8.000,8.0
221020,Zubair Group,Yemen,32,Satellite,2011 Dec 18,2011 Dec 18,1.000,5.2
268060,Gamalama,Indonesia,156,Satellite,2011 Dec 04,2011 Dec 04,8.000,6.0
266030,Soputan,Indonesia,146,Satellite,2011 Aug 14,2011 Aug 14,2.000,4.0
211060,Etna,Italy,19,Satellite,2011 Apr 10,2011 Apr 10,5.000,5.0
300270,Sheveluch,Russia,207,Satellite,2010 Oct 27,2010 Oct 27,11.000,12.0
233020,"Fournaise, Piton de la",France,68,Satellite,2010 Oct 15,2010 Oct 15,1.000,7.6
263310,Tengger Caldera,Indonesia,122,Satellite,2010 Nov 29,2010 Nov 29,5.000,4.0
263250,Merapi,Indonesia,118,Satellite,2010 Nov 04,2010 Nov 04,300.000,17.0
342110,Pacaya,Guatemala,286,Satellite,2010 May 28,2010 May 28,23.000,18.0
233020,"Fournaise, Piton de la",France,67,Satellite,2010 Jan 11,2010 Jan 11,1.000,7.6
223020,Nyamulagira,DR Congo,52,Satellite,2010 Jan 02,2010 Jan 02,601.000,8.1
360050,Soufriere Hills,United Kingdom,348,Satellite,2010 Feb 12,2010 Feb 12,30.000,18.0
263310,Tengger Caldera,Indonesia,123,Satellite,2010 Dec 20,2010 Dec 26,12.000,6.0
300230,Kizimen,Russia,187,Satellite,2010 Dec 13,2010 Dec 13,37.000,10.0
372020,Eyjafjallajokull,Iceland,350,Satellite,2010 Apr 14,2010 Apr 14,466.000,9.0
313030,Redoubt,United States,229,Satellite,2009 Mar 23,2009 Apr 04,159.000,12.0
221115,Manda Hararo,Ethiopia,36,Satellite,2009 Jun 29,2009 Jun 29,34.000,5.6
290240,Sarychev Peak,Russia,175,Satellite,2009 Jun 15,2009 Jun 15,1200.000,17.0
360050,Soufriere Hills,United Kingdom,347,Satellite,2009 Jan 03,2009 Jan 03,8.000,11.0
300250,Bezymianny,Russia,198,Satellite,2009 Dec 17,2009 Dec 17,1.000,15.0
300090,Koryaksky,Russia,184,Satellite,2009 Aug 16,2009 Aug 16,2.000,4.0
353010,Fernandina,Ecuador,311,Satellite,2009 Apr 11,2009 Apr 11,521.000,3.0
357110,Llaima,Chile,327,Satellite,2009 Apr 03,2009 Apr 03,10.000,4.0
266030,Soputan,Indonesia,144,Satellite,2008 Oct 06,2008 Oct 06,16.000,8.0
221060,Alu-Dalafilla,Ethiopia,33,Satellite,2008 Nov 03,2008 Nov 03,150.000,16.0
353060,"Azul, Cerro",Ecuador,318,Satellite,2008 May 30,2008 May 30,157.000,3.0
211060,Etna,Italy,16,Satellite,2008 May 10,2008 May 13,46.500,5.0
358041,Chaiten,Chile,331,Satellite,2008 May 02,2008 May 08,14.000,13.0
266030,Soputan,Indonesia,143,Satellite,2008 Jun 06,2008 Jun 06,33.000,14.0
360050,Soufriere Hills,United Kingdom,345,Satellite,2008 Jul 29,2008 Jul 29,3.000,12.0
290360,Chikurachki,Russia,180,Satellite,2008 Jul 18,2008 Jul 18,20.000,6.0
311290,Okmok,United States,214,Satellite,2008 Jul 12,2008 Jul 12,150.000,15.0
357110,Llaima,Chile,326,Satellite,2008 Jan 01,2008 Jan 01,30.000,13.0
360050,Soufriere Hills,United Kingdom,346,Satellite,2008 Dec 03,2008 Dec 03,5.000,12.0
311130,Kasatochi,United States,210,Satellite,2008 Aug 07,2008 Aug 07,2000.000,15.0
221010,"Tair, Jebel at",Yemen,31,Satellite,2007 Sep 30,2007 Sep 30,80.000,16.0
211060,Etna,Italy,14,Satellite,2007 Sep 04,2007 Sep 04,12.000,5.0
266030,Soputan,Indonesia,142,Satellite,2007 Oct 25,2007 Oct 25,12.000,14.0
300250,Bezymianny,Russia,197,Satellite,2007 Oct 15,2007 Oct 15,5.000,10.0
211060,Etna,Italy,15,Satellite,2007 Nov 24,2007 Nov 24,10.000,7.0
252070,Krummel-Garbuna-Welcker,Papua New Guinea,90,Satellite,2007 Nov 11,2007 Nov 11,1.000,3.0
273010,Bulusan,Philippines,161,Satellite,2007 May 12,2007 May 12,1.000,6.0
211060,Etna,Italy,12,Satellite,2007 Mar 29,2007 Apr 11,10.500,5.0
342090,Fuego,Guatemala,278,Satellite,2007 Mar 15,2007 Mar 15,2.000,6.0
290360,Chikurachki,Russia,178,Satellite,2007 Mar 04,2007 Mar 04,30.000,5.0
273010,Bulusan,Philippines,162,Satellite,2007 Jul 31,2007 Jul 31,1.000,7.0
268040,Gamkonora,Indonesia,154,Satellite,2007 Jul 09,2007 Jul 09,1.000,6.0
342090,Fuego,Guatemala,279,Satellite,2007 Jul 01,2007 Jul 01,2.000,4.0
233010,Karthala,Comoros,60,Satellite,2007 Jan 12,2007 Jan 12,0.600,7.4
360050,Soufriere Hills,United Kingdom,344,Satellite,2007 Jan 08,2007 Jan 08,1.000,9.0
342090,Fuego,Guatemala,280,Satellite,2007 Dec 15,2007 Dec 15,2.000,5.0
290360,Chikurachki,Russia,179,Satellite,2007 Aug 19,2007 Aug 19,20.000,5.0
266030,Soputan,Indonesia,141,Satellite,2007 Aug 14,2007 Aug 14,5.000,3.0
221115,Manda Hararo,Ethiopia,35,Satellite,2007 Aug 12,2007 Aug 12,26.000,5.6
300260,Klyuchevskoy,Russia,203,Satellite,2007 Apr 30,2007 Jul 15,176.000,6.0
211060,Etna,Italy,13,Satellite,2007 Apr 29,2007 May 07,6.000,6.0
257050,Lopevi,Vanuatu,108,Satellite,2007 Apr 20,2007 Apr 20,12.000,5.0
273010,Bulusan,Philippines,160,Satellite,2007 Apr 08,2007 Apr 08,0.500,4.0
233020,"Fournaise, Piton de la",France,66,Satellite,2007 Apr 03,2007 Apr 03,300.000,11.0
312260,Fourpeaked,United States,224,Satellite,2006 Sep 17,2006 Sep 17,1.000,6.0
252140,Rabaul,Papua New Guinea,97,Satellite,2006 Oct 07,2006 Oct 07,300.000,18.0
223020,Nyamulagira,DR Congo,51,Satellite,2006 Nov 27,2006 Nov 27,675.000,15.0
211060,Etna,Italy,11,Satellite,2006 Nov 16,2006 Nov 21,9.300,4.0
233010,Karthala,Comoros,59,Satellite,2006 May 28,2006 May 28,10.000,7.4
311240,Cleveland,United States,212,Satellite,2006 May 23,2006 May 23,0.130,8.0
360050,Soufriere Hills,United Kingdom,343,Satellite,2006 May 20,2006 May 20,200.000,20.0
300250,Bezymianny,Russia,196,Satellite,2006 May 09,2006 May 09,5.000,15.0
273010,Bulusan,Philippines,159,Satellite,2006 Mar 21,2006 Mar 21,1.000,7.0
263250,Merapi,Indonesia,117,Satellite,2006 Jun 15,2006 Jun 15,10.000,5.0
352080,Tungurahua,Ecuador,305,Satellite,2006 Jul 15,2006 Jul 15,10.000,12.0
313010,Augustine,United States,226,Satellite,2006 Jan 29,2006 Jan 29,10.000,10.0
251020,Manam,Papua New Guinea,86,Satellite,2006 Feb 27,2006 Feb 27,50.000,19.0
256010,Tinakula,Solomon Islands,99,Satellite,2006 Feb 12,2006 Feb 12,2.000,3.0
266030,Soputan,Indonesia,140,Satellite,2006 Dec 14,2006 Dec 14,10.000,12.0
233020,"Fournaise, Piton de la",France,65,Satellite,2006 Aug 31,2006 Aug 31,1.000,7.6
352080,Tungurahua,Ecuador,306,Satellite,2006 Aug 16,2006 Aug 16,30.000,16.0
243080,Home Reef,Tonga,79,Satellite,2006 Aug 08,2006 Aug 08,25.000,10.0
355100,Lascar,Chile,322,Satellite,2006 Apr 18,2006 Apr 18,2.000,8.0
260010,Barren Island,India,109,Satellite,2006 Apr 05,2006 Apr 05,0.200,5.0
353050,"Negra, Sierra",Ecuador,315,Satellite,2005 Oct 23,2005 Oct 23,1928.000,15.0
343020,Santa Ana,El Salvador,288,Satellite,2005 Oct 01,2005 Oct 01,12.000,14.0
233010,Karthala,Comoros,58,Satellite,2005 Nov 24,2005 Nov 24,20.000,12.0
353010,Fernandina,Ecuador,310,Satellite,2005 May 13,2005 May 13,150.000,9.0
355100,Lascar,Chile,321,Satellite,2005 May 04,2005 May 04,3.000,10.0
290360,Chikurachki,Russia,177,Satellite,2005 Mar 12,2005 Mar 12,5.000,5.0
360050,Soufriere Hills,United Kingdom,342,Satellite,2005 Jun 28,2005 Jul 18,8.000,7.0
251020,Manam,Papua New Guinea,85,Satellite,2005 Jan 28,2005 Jan 28,140.000,24.0
233020,"Fournaise, Piton de la",France,63,Satellite,2005 Feb 26,2005 Feb 26,10.000,7.6
233020,"Fournaise, Piton de la",France,64,Satellite,2005 Dec 27,2005 Dec 27,15.000,7.6
266030,Soputan,Indonesia,139,Satellite,2005 Dec 27,2005 Dec 27,5.000,6.0
342090,Fuego,Guatemala,277,Satellite,2005 Dec 27,2005 Dec 27,1.000,8.0
266030,Soputan,Indonesia,138,Satellite,2005 Apr 20,2005 Apr 20,1.500,3.0
233010,Karthala,Comoros,57,Satellite,2005 Apr 17,2005 Apr 17,10.000,7.4
261160,Talang,Indonesia,111,Satellite,2005 Apr 12,2005 Apr 12,1.000,8.0
284200,Anatahan,United States,174,Satellite,2005 Apr 05,2005 Sep 03,2324.200,3.0
257050,Lopevi,Vanuatu,107,Satellite,2004 Sep 28,2004 Sep 28,22.000,11.4
283110,Asamayama,Japan,169,Satellite,2004 Sep 01,2004 Sep 15,101.000,5.0
251020,Manam,Papua New Guinea,83,Satellite,2004 Oct 24,2004 Nov 27,152.000,6.0
266030,Soputan,Indonesia,136,Satellite,2004 Oct 18,2004 Oct 18,10.000,11.8
233020,"Fournaise, Piton de la",France,62,Satellite,2004 Oct 02,2004 Oct 02,0.500,7.6
