Volcano Number,Volcano Name,Country,Emission ID,Method,Start Date,End Date,Total SO2 Mass (kt),SO2 Altitude Range Start
373010,Grimsvotn,Iceland,357,Satellite,2004 Nov 02,2004 Nov 02,30.000,12.0
300270,Sheveluch,Russia,206,Satellite,2004 May 10,2004 May 10,1.000,11.0
223020,Nyamulagira,DR Congo,50,Satellite,2004 May 08,2004 May 08,2587.000,4.0
360050,Soufriere Hills,United Kingdom,341,Satellite,2004 Mar 03,2004 Mar 03,5.000,7.0
300250,Bezymianny,Russia,195,Satellite,2004 Jun 19,2004 Jun 19,1.000,10.0
263310,Tengger Caldera,Indonesia,121,Satellite,2004 Jun 09,2004 Jun 09,31.000,12.3
300250,Bezymianny,Russia,194,Satellite,2004 Jan 14,2004 Jan 14,1.000,6.0
251020,Manam,Papua New Guinea,84,Satellite,2004 Dec 20,2004 Dec 20,38.000,17.0
266030,Soputan,Indonesia,137,Satellite,2004 Dec 13,2004 Dec 13,15.000,11.0
351080,Galeras,Colombia,299,Satellite,2004 Aug 12,2004 Aug 12,3.000,11.0
266030,Soputan,Indonesia,135,Satellite,2003 Sep 01,2003 Sep 01,16.000,11.8
284200,Anatahan,United States,173,Satellite,2003 May 11,2003 Jun 13,494.000,5.0
352080,Tungurahua,Ecuador,304,Satellite,2003 Mar 08,2003 Mar 08,12.000,15.0
257050,Lopevi,Vanuatu,106,Satellite,2003 Jun 09,2003 Jun 09,50.000,12.0
268060,Gamalama,Indonesia,155,Satellite,2003 Jul 31,2003 Jul 31,5.000,11.7
300250,Bezymianny,Russia,193,Satellite,2003 Jul 26,2003 Jul 26,2.000,11.0
360050,Soufriere Hills,United Kingdom,340,Satellite,2003 Jul 13,2003 Jul 13,100.000,16.0
267010,Ruang,Indonesia,153,Satellite,2002 Sep 26,2002 Sep 26,80.000,22.0
211060,Etna,Italy,10,Satellite,2002 Oct 27,2002 Oct 27,80.000,13.4
233020,"Fournaise, Piton de la",France,61,Satellite,2002 Nov 17,2002 Nov 17,4.000,7.6
263100,Papandayan,Indonesia,112,Satellite,2002 Nov 13,2002 Nov 13,7.000,12.7
352010,Reventador,Ecuador,300,Satellite,2002 Nov 03,2002 Nov 03,84.000,17.0
251020,Manam,Papua New Guinea,82,Satellite,2002 May 19,2002 May 19,10.000,9.0
223020,Nyamulagira,DR Congo,49,Satellite,2002 Jul 25,2002 Jul 25,2321.000,5.0
223030,Nyiragongo,DR Congo,54,Satellite,2002 Jan 17,2002 Jan 17,30.000,8.5
252120,Ulawun,Papua New Guinea,95,Satellite,2002 Aug 27,2002 Aug 27,10.000,12.3
360050,Soufriere Hills,United Kingdom,339,Satellite,2001 Jul 30,2001 Jul 30,33.000,10.9
211060,Etna,Italy,9,Satellite,2001 Jul 25,2001 Jul 25,10.000,8.4
341090,Popocatepetl,Mexico,274,Satellite,2001 Jan 23,2001 Jan 23,17.000,12.0
311240,Cleveland,United States,211,Satellite,2001 Feb 19,2001 Feb 19,6.000,10.0
223020,Nyamulagira,DR Congo,48,Satellite,2001 Feb 06,2001 Feb 06,1651.000,10.0
352080,Tungurahua,Ecuador,303,Satellite,2001 Aug 06,2001 Aug 06,32.000,13.0
252120,Ulawun,Papua New Guinea,94,Satellite,2001 Apr 30,2001 Apr 30,30.000,14.0
341090,Popocatepetl,Mexico,275,Satellite,2001 Apr 29,2001 Apr 29,4.000,9.0
252120,Ulawun,Papua New Guinea,93,Satellite,2000 Sep 28,2000 Sep 28,37.000,16.0
360050,Soufriere Hills,United Kingdom,338,Satellite,2000 Mar 20,2000 Mar 20,3.400,9.0
223020,Nyamulagira,DR Congo,47,Satellite,2000 Jan 28,2000 Jan 28,317.000,6.0
372070,Hekla,Iceland,354,Satellite,2000 Feb 26,2000 Feb 26,183.000,11.0
341090,Popocatepetl,Mexico,273,Satellite,2000 Dec 15,2000 Dec 19,49.000,15.5
284040,Miyakejima,Japan,171,Satellite,2000 Aug 18,2000 Aug 28,64.000,5.0
352080,Tungurahua,Ecuador,302,Satellite,1999 Nov 16,1999 Nov 16,6.000,15.0
224010,Cameroon,Cameroon,56,Satellite,1999 Mar 30,1999 Mar 30,45.000,9.1
360050,Soufriere Hills,United Kingdom,337,Satellite,1999 Jul 20,1999 Jul 20,16.000,11.1
311360,Shishaldin,United States,216,Satellite,1999 Apr 19,1999 Apr 19,63.000,13.7
353060,"Azul, Cerro",Ecuador,317,Satellite,1998 Sep 15,1998 Sep 15,714.000,15.0
223020,Nyamulagira,DR Congo,46,Satellite,1998 Oct 17,1998 Oct 17,2513.000,8.0
251020,Manam,Papua New Guinea,81,Satellite,1998 Oct 05,1998 Oct 05,17.000,16.0
341090,Popocatepetl,Mexico,272,Satellite,1998 Nov 25,1998 Nov 25,10.000,15.5
360050,Soufriere Hills,United Kingdom,336,Satellite,1998 Nov 12,1998 Nov 12,9.000,8.0
360050,Soufriere Hills,United Kingdom,335,Satellite,1998 Jul 03,1998 Jul 03,2.000,12.0
341090,Popocatepetl,Mexico,271,Satellite,1997 Jul 03,1997 Jul 03,7.000,13.0
251020,Manam,Papua New Guinea,80,Satellite,1997 Feb 08,1997 Feb 08,3.000,16.0
360050,Soufriere Hills,United Kingdom,334,Satellite,1997 Dec 26,1997 Dec 26,31.000,11.0
373010,Grimsvotn,Iceland,356,Satellite,1996 Oct 02,1996 Oct 02,10.000,10.0
241100,Ruapehu,New Zealand,76,Satellite,1996 Jun 17,1996 Jun 17,80.000,10.0
241100,Ruapehu,New Zealand,77,Satellite,1996 Jul 20,1996 Jul 20,10.000,11.0
223020,Nyamulagira,DR Congo,45,Satellite,1996 Dec 01,1996 Dec 01,887.000,6.0
252140,Rabaul,Papua New Guinea,96,Satellite,1994 Sep 19,1994 Sep 19,200.000,20.0
300260,Klyuchevskoy,Russia,202,Satellite,1994 Oct 01,1994 Oct 01,150.000,15.0
264030,Rinjani,Indonesia,125,Satellite,1994 Jun 03,1994 Jun 03,10.000,10.0
223020,Nyamulagira,DR Congo,44,Satellite,1994 Jul 05,1994 Jul 05,1514.000,4.0
355100,Lascar,Chile,320,Satellite,1993 Apr 19,1993 Apr 19,450.000,16.0
313040,Spurr,United States,232,Satellite,1992 Sep 17,1992 Sep 17,250.000,15.0
313040,Spurr,United States,230,Satellite,1992 Jun 27,1992 Jun 27,250.000,18.0
313040,Spurr,United States,231,Satellite,1992 Aug 18,1992 Aug 18,300.000,13.5
344070,"Negro, Cerro",Nicaragua,293,Satellite,1992 Apr 09,1992 Apr 09,10.000,8.0
353080,Marchena,Ecuador,319,Satellite,1991 Sep 26,1991 Sep 26,200.000,2.0
223020,Nyamulagira,DR Congo,43,Satellite,1991 Sep 22,1991 Sep 22,858.000,4.0
266100,Lokon-Empung,Indonesia,152,Satellite,1991 Oct 25,1991 Oct 25,20.000,11.6
273083,Pinatubo,Philippines,165,Satellite,1991 Jun 13,1991 Jun 15,18194.000,19.0
372070,Hekla,Iceland,353,Satellite,1991 Jan 20,1991 Jan 20,230.000,6.5
358057,"Hudson, Cerro",Chile,332,Satellite,1991 Aug 09,1991 Aug 15,4000.000,12.0
353010,Fernandina,Ecuador,309,Satellite,1991 Apr 20,1991 Apr 20,580.000,8.0
313030,Redoubt,United States,228,Satellite,1990 Mar 09,1990 Mar 09,16.000,13.1
300260,Klyuchevskoy,Russia,201,Satellite,1990 Jan 30,1990 Jan 30,10.000,10.0
211060,Etna,Italy,8,Satellite,1990 Jan 15,1990 Jan 15,10.000,8.4
263280,Kelut,Indonesia,119,Satellite,1990 Feb 11,1990 Feb 11,150.000,12.0
211060,Etna,Italy,7,Satellite,1989 Sep 19,1989 Sep 19,37.000,8.4
351020,"Ruiz, Nevado del",Colombia,298,Satellite,1989 Sep 01,1989 Sep 01,12.000,15.3
342110,Pacaya,Guatemala,285,Satellite,1989 Mar 09,1989 Mar 09,1.000,3.0
357100,Lonquimay,Chile,325,Satellite,1989 Jan 12,1989 Jan 12,10.000,6.0
313030,Redoubt,United States,227,Satellite,1989 Dec 15,1989 Dec 15,140.000,12.0
223020,Nyamulagira,DR Congo,42,Satellite,1989 Apr 24,1989 Apr 24,2105.000,6.0
257040,Ambrym,Vanuatu,102,Satellite,1989 Apr 24,1989 Apr 24,25.000,11.3
353010,Fernandina,Ecuador,308,Satellite,1988 Sep 14,1988 Sep 14,280.000,9.0
265090,Banda Api,Indonesia,128,Satellite,1988 May 09,1988 May 09,250.000,16.0
268070,Makian,Indonesia,157,Satellite,1988 Jul 29,1988 Jul 29,50.000,16.0
300260,Klyuchevskoy,Russia,200,Satellite,1987 Feb 19,1987 Feb 19,10.000,9.0
223020,Nyamulagira,DR Congo,41,Satellite,1987 Dec 31,1987 Dec 31,28.000,4.0
211060,Etna,Italy,6,Satellite,1986 Nov 30,1986 Nov 30,10.000,8.4
290360,Chikurachki,Russia,176,Satellite,1986 Nov 20,1986 Dec 02,750.000,11.0
284010,Izu-Oshima,Japan,170,Satellite,1986 Nov 19,1986 Nov 19,22.000,10.8
257040,Ambrym,Vanuatu,101,Satellite,1986 Nov 15,1986 Nov 15,10.000,11.3
332010,Kilauea,United States,267,Satellite,1986 May 07,1986 May 07,36.200,5.2
313010,Augustine,United States,225,Satellite,1986 Mar 27,1986 Mar 27,20.000,15.0
332010,Kilauea,United States,265,Satellite,1986 Mar 22,1986 Mar 22,5.400,5.2
332010,Kilauea,United States,269,Satellite,1986 Jun 26,1986 Jun 26,37.200,5.2
332010,Kilauea,United States,268,Satellite,1986 Jun 02,1986 Jun 02,48.000,5.2
223020,Nyamulagira,DR Congo,40,Satellite,1986 Jul 16,1986 Jul 16,983.000,9.0
332010,Kilauea,United States,263,Satellite,1986 Jan 27,1986 Jan 27,25.000,5.2
332010,Kilauea,United States,262,Satellite,1986 Jan 01,1986 Jan 01,7.900,5.2
332010,Kilauea,United States,264,Satellite,1986 Feb 22,1986 Feb 22,37.400,5.2
312030,Pavlof,United States,218,Satellite,1986 Apr 19,1986 Apr 19,70.000,16.0
332010,Kilauea,United States,266,Satellite,1986 Apr 13,1986 Apr 13,24.200,5.2
332010,Kilauea,United States,259,Satellite,1985 Sep 24,1985 Sep 24,35.300,5.2
351020,"Ruiz, Nevado del",Colombia,296,Satellite,1985 Sep 12,1985 Sep 12,90.000,15.0
332010,Kilauea,United States,258,Satellite,1985 Sep 02,1985 Sep 02,57.700,5.2
332010,Kilauea,United States,260,Satellite,1985 Oct 21,1985 Oct 21,23.900,5.2
252120,Ulawun,Papua New Guinea,92,Satellite,1985 Nov 20,1985 Nov 20,70.000,8.0
351020,"Ruiz, Nevado del",Colombia,297,Satellite,1985 Nov 14,1985 Nov 14,660.000,25.0
332010,Kilauea,United States,261,Satellite,1985 Nov 13,1985 Nov 13,11.000,5.2
266030,Soputan,Indonesia,134,Satellite,1985 May 20,1985 May 20,12.000,11.8
272020,Kanlaon,Philippines,158,Satellite,1985 Mar 14,1985 Mar 14,10.000,12.4
332010,Kilauea,United States,255,Satellite,1985 Jun 12,1985 Jun 12,30.800,5.2
332010,Kilauea,United States,257,Satellite,1985 Jul 26,1985 Jul 26,17.900,5.2
332010,Kilauea,United States,256,Satellite,1985 Jul 06,1985 Jul 06,33.100,5.2
300250,Bezymianny,Russia,192,Satellite,1985 Jul 01,1985 Jul 01,10.000,12.9
234010,Heard,Australia,74,Satellite,1985 Jan 14,1985 Jan 14,10.000,7.7
332010,Kilauea,United States,252,Satellite,1985 Jan 03,1985 Jan 03,47.900,5.2
332010,Kilauea,United States,253,Satellite,1985 Feb 04,1985 Feb 04,48.500,5.2
332010,Kilauea,United States,254,Satellite,1985 Apr 21,1985 Apr 21,72.700,5.2
332010,Kilauea,United States,249,Satellite,1984 Sep 19,1984 Sep 19,37.900,5.2
273030,Mayon,Philippines,164,Satellite,1984 Sep 13,1984 Sep 13,50.000,12.5
373080,Krafla,Iceland,362,Satellite,1984 Sep 05,1984 Sep 05,375.000,5.8
300250,Bezymianny,Russia,191,Satellite,1984 Oct 13,1984 Oct 13,10.000,9.0
332010,Kilauea,United States,251,Satellite,1984 Nov 19,1984 Dec 03,124.100,5.2
332010,Kilauea,United States,250,Satellite,1984 Nov 02,1984 Nov 02,15.200,5.2
266030,Soputan,Indonesia,132,Satellite,1984 May 24,1984 May 24,166.000,16.0
353010,Fernandina,Ecuador,307,Satellite,1984 Mar 31,1984 Mar 31,290.000,5.0
332020,Mauna Loa,United States,270,Satellite,1984 Mar 25,1984 Mar 25,1197.000,11.0
332010,Kilauea,United States,243,Satellite,1984 Mar 04,1984 Mar 04,13.500,5.2
332010,Kilauea,United States,246,Satellite,1984 Jun 30,1984 Jul 08,80.800,5.2
332010,Kilauea,United States,245,Satellite,1984 Jun 07,1984 Jun 07,30.200,5.2
332010,Kilauea,United States,247,Satellite,1984 Jul 28,1984 Jul 28,29.800,5.2
332010,Kilauea,United States,242,Satellite,1984 Jan 30,1984 Feb 14,51.800,5.2
223020,Nyamulagira,DR Congo,39,Satellite,1984 Feb 23,1984 Feb 23,1384.000,5.0
266030,Soputan,Indonesia,133,Satellite,1984 Aug 31,1984 Aug 31,26.000,11.8
332010,Kilauea,United States,248,Satellite,1984 Aug 19,1984 Aug 19,45.900,5.2
332010,Kilauea,United States,244,Satellite,1984 Apr 18,1984 Apr 18,29.800,5.2
332010,Kilauea,United States,238,Satellite,1983 Sep 06,1983 Sep 15,12.600,5.2
332010,Kilauea,United States,239,Satellite,1983 Oct 05,1983 Oct 05,11.600,5.2
332010,Kilauea,United States,241,Satellite,1983 Nov 29,1983 Nov 29,14.500,5.2
312030,Pavlof,United States,217,Satellite,1983 Nov 15,1983 Nov 15,50.000,7.5
332010,Kilauea,United States,240,Satellite,1983 Nov 05,1983 Nov 05,31.800,5.2
373010,Grimsvotn,Iceland,355,Satellite,1983 May 29,1983 May 29,10.000,8.0
332010,Kilauea,United States,235,Satellite,1983 Mar 29,1983 Mar 29,1.000,5.2
266010,Colo,Indonesia,129,Satellite,1983 Jul 24,1983 Jul 24,200.000,15.0
332010,Kilauea,United States,237,Satellite,1983 Jul 21,1983 Jul 21,11.000,5.2
332010,Kilauea,United States,236,Satellite,1983 Jul 03,1983 Jul 03,5.500,5.2
257050,Lopevi,Vanuatu,105,Satellite,1982 Oct 25,1982 Oct 25,27.000,11.4
224010,Cameroon,Cameroon,55,Satellite,1982 Oct 18,1982 Oct 18,3.000,9.1
266030,Soputan,Indonesia,131,Satellite,1982 Nov 10,1982 Nov 10,13.000,11.8
341120,"Chichon, El",Mexico,276,Satellite,1982 Mar 29,1982 Apr 04,8090.000,17.0
263140,Galunggung,Indonesia,114,Satellite,1982 Jun 24,1982 Jun 24,430.000,14.0
263140,Galunggung,Indonesia,115,Satellite,1982 Jul 13,1982 Jul 17,440.000,12.2
353020,Wolf,Ecuador,312,Satellite,1982 Aug 29,1982 Aug 29,1080.000,4.0
266030,Soputan,Indonesia,130,Satellite,1982 Aug 27,1982 Aug 27,90.000,15.0
263140,Galunggung,Indonesia,116,Satellite,1982 Aug 15,1982 Sep 18,130.000,4.0
263140,Galunggung,Indonesia,113,Satellite,1982 Apr 05,1982 Jun 03,730.000,12.2
284170,Pagan,United States,172,Satellite,1981 May 15,1981 May 15,320.000,20.0
300250,Bezymianny,Russia,190,Satellite,1981 Jun 13,1981 Jun 13,10.000,8.0
223020,Nyamulagira,DR Congo,38,Satellite,1981 Dec 25,1981 Dec 25,4122.000,8.0
290390,Alaid,Russia,183,Satellite,1981 Apr 27,1981 May 08,1110.000,12.3
372070,Hekla,Iceland,352,Satellite,1981 Apr 09,1981 Apr 09,10.000,7.0
211060,Etna,Italy,5,Satellite,1980 Sep 02,1980 Sep 06,70.000,9.0
373080,Krafla,Iceland,361,Satellite,1980 Oct 19,1980 Oct 19,60.000,5.8
252120,Ulawun,Papua New Guinea,91,Satellite,1980 Oct 07,1980 Oct 07,200.000,20.0
321050,St. Helens,United States,233,Satellite,1980 May 18,1980 May 25,875.000,14.0
311310,Makushin,United States,215,Satellite,1980 May 01,1980 May 01,10.000,12.0
321050,St. Helens,United States,234,Satellite,1980 Jun 13,1980 Jun 13,35.000,16.0
373080,Krafla,Iceland,360,Satellite,1980 Jul 11,1980 Jul 11,250.000,5.8
223020,Nyamulagira,DR Congo,37,Satellite,1980 Jan 31,1980 Jan 31,884.000,8.0
257050,Lopevi,Vanuatu,104,Satellite,1980 Aug 18,1980 Aug 18,38.000,11.4
372070,Hekla,Iceland,351,Satellite,1980 Aug 18,1980 Aug 18,460.000,15.0
353050,"Negra, Sierra",Ecuador,314,Satellite,1979 Nov 13,1979 Nov 13,2524.000,14.0
251030,Karkar,Papua New Guinea,89,Satellite,1979 Mar 08,1979 Mar 08,50.000,11.8
353060,"Azul, Cerro",Ecuador,316,Satellite,1979 Feb 01,1979 Feb 01,358.000,2.0
211060,Etna,Italy,4,Satellite,1979 Aug 04,1979 Aug 04,10.000,8.4
360150,Soufriere St. Vincent,Saint Vincent and the Grenadines,349,Satellite,1979 Apr 13,1979 Apr 13,3.000,18.0
257040,Ambrym,Vanuatu,100,Satellite,1978 Dec 05,1978 Dec 05,87.000,11.3
